id,defects
56121,1
64981,1
42984,1
54865,1
79712,1
25127,1
38911,1
61464,1
91861,1
91163,1
72676,1
92566,1
8592,1
19891,1
41212,1
72539,1
22919,1
7277,1
36141,1
79836,1
27413,1
466,1
51819,1
16421,1
32991,1
71643,1
75211,1
85151,1
88613,1
86128,1
41333,1
18911,1
12886,1
71415,1
12358,1
21665,1
69173,1
7578,1
25451,1
23856,1
37154,1
87375,1
6418,1
81419,1
59641,1
31813,1
76654,1
4727,1
16421,1
21599,1
51565,1
48635,1
79385,1
6396,1
58515,1
2339,1
54737,1
11115,1
69536,1
57297,1
93714,1
96497,1
13279,1
46368,1
45843,1
28171,1
22493,1
42684,1
63424,1
93174,1
52715,1
23156,1
21885,1
58244,1
49116,1
87827,1
8517,1
32546,1
63598,1
52816,1
7276,1
88581,1
91394,1
883,1
35484,1
24919,1
11568,1
33181,1
51153,1
8959,1
73799,1
95366,1
61852,1
33137,1
14185,1
71668,1
31421,1
53336,1
22319,1
655,1
49718,1
46451,1
7777,1
84614,1
82983,1
56413,1
23281,1
35659,1
35267,1
92696,1
45424,1
5982,1
5718,1
13132,1
949,1
14697,1
19966,1
15287,1
77955,1
86793,1
4215,1
61925,1
81188,1
75181,1
52729,1
2694,1
81211,1
63152,1
34223,1
13631,1
27116,1
61552,1
45767,1
47239,1
88137,1
51514,1
99463,1
27612,1
99358,1
15791,1
89618,1
81697,1
94931,1
52143,1
6219,1
43843,1
11541,1
73359,1
96611,1
93112,1
48565,1
39614,1
91679,1
38362,1
6694,1
71717,1
28518,1
61927,1
91662,1
62211,1
86232,1
69894,1
24617,1
57681,1
21178,1
86718,1
63445,1
14296,1
81199,1
87262,1
75437,1
79132,1
89422,1
62141,1
85768,1
51485,1
66719,1
42643,1
19913,1
62839,1
45111,1
55494,1
48251,1
64979,1
81214,1
5715,1
111329,1
12345,1
34214,1
37835,1
47957,1
69214,1
84854,1
11185,1
47631,1
46711,1
82228,1
71461,1
36272,1
67184,1
56957,1
91511,1
41673,1
61478,1
22916,1
88184,1
25217,1
22697,1
46251,1
46333,1
59384,1
5223,1
35849,1
15481,1
11791,1
14415,1
3111,1
14117,1
12167,1
19297,1
95573,1
48185,1
96288,1
42195,1
54541,1
57393,1
22516,1
21291,1
64597,1
95678,1
51261,1
81358,1
46527,1
52829,1
48855,1
96438,1
51246,1
61448,1
62329,1
23272,1
82244,1
67457,1
96215,1
44795,1
54667,1
21158,1
61193,1
92262,1
31145,1
31681,1
111551,1
86343,1
11861,1
11293,1
24445,1
88381,1
81817,1
11119,1
79373,1
22762,1
51461,1
76763,1
93386,1
76217,1
35941,1
83266,1
11337,1
82996,1
79342,1
72181,1
18186,1
13195,1
18944,1
23835,1
16499,1
57751,1
4891,1
33296,1
11616,1
65972,1
79927,1
19919,1
58641,1
71731,1
62641,1
28149,1
75541,1
7481,1
69144,1
79359,1
47213,1
21141,1
34995,1
36467,1
27617,1
51269,1
82126,1
96957,1
94317,1
111319,1
23879,1
24239,1
49171,1
12161,1
44512,1
27435,1
38579,1
26481,1
111669,1
111677,1
73397,1
58716,1
21172,1
21653,1
5619,1
94832,1
69341,1
63983,1
11192,1
39326,1
61211,1
81837,1
38121,1
56451,1
91252,1
79846,1
86511,1
98113,1
41381,1
78949,1
16866,1
84799,1
52851,1
8581,1
64519,1
87166,1
26215,1
97283,1
19931,1
87151,1
34737,1
88622,1
83115,1
65712,1
67377,1
9193,1
21683,1
53959,1
26436,1
67732,1
79682,1
12373,1
93118,1
11636,1
54988,1
63439,1
14195,1
111265,1
95688,1
